timestamp,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual
2020-07-02T00:00:00+0200,9465.87,0,4156.86
2020-07-02T00:15:00+0200,9418,0,4151.88
2020-07-02T00:30:00+0200,9495.8,0,4285.36
2020-07-02T00:45:00+0200,9618.93,0,4157.8
2020-07-02T01:00:00+0200,9176.13,0,4097.21
2020-07-02T01:15:00+0200,9076.86,0,4140.67
2020-07-02T01:30:00+0200,8882.93,0,3960.07
2020-07-02T01:45:00+0200,8727.93,0,3922.66
2020-07-02T02:00:00+0200,8758.73,0,3965.96
2020-07-02T02:15:00+0200,8963.6,0,3988.21
2020-07-02T02:30:00+0200,8937.8,0,3899.94
2020-07-02T02:45:00+0200,8958.53,0,3827.92
2020-07-02T03:00:00+0200,8904.06,0,3743.72
2020-07-02T03:15:00+0200,8753.4,0,3914.9
2020-07-02T03:30:00+0200,8738,0,3995.97
2020-07-02T03:45:00+0200,8639.27,0,4060.41
2020-07-02T04:00:00+0200,8824.93,0,4012.93
2020-07-02T04:15:00+0200,8990.27,0,4074.97
2020-07-02T04:30:00+0200,9095.8,1,3923.58
2020-07-02T04:45:00+0200,9045,5,3822.66
2020-07-02T05:00:00+0200,9058.4,35,3740.59
2020-07-02T05:15:00+0200,9396.66,94,3624.62
2020-07-02T05:30:00+0200,9570.27,164,3471.9
2020-07-02T05:45:00+0200,9755,254,3351.56
2020-07-02T06:00:00+0200,9601.27,377,3190.9
2020-07-02T06:15:00+0200,9895,507,3061.94
2020-07-02T06:30:00+0200,10322.5,687,2868.3
2020-07-02T06:45:00+0200,10404.7,904,2652.87
2020-07-02T07:00:00+0200,10396.3,1165,2510.97
2020-07-02T07:15:00+0200,10523.2,1422,2399.41
2020-07-02T07:30:00+0200,10730.5,1727,2303.37
2020-07-02T07:45:00+0200,10740.6,2107,2330.62
2020-07-02T08:00:00+0200,11020.1,2471,2293.13
2020-07-02T08:15:00+0200,11019.7,2866,2340.69
2020-07-02T08:30:00+0200,11320.7,3264,2380.68
2020-07-02T08:45:00+0200,11517.1,3651,2481.78
2020-07-02T09:00:00+0200,11526.6,3890,2502.23
2020-07-02T09:15:00+0200,11644.3,4153,2492.37
2020-07-02T09:30:00+0200,11954.6,4431,2499.26
2020-07-02T09:45:00+0200,11944,4552,2403.8
2020-07-02T10:00:00+0200,12157.4,4747,2293.33
2020-07-02T10:15:00+0200,11898.5,4988,2250.49
2020-07-02T10:30:00+0200,11871.6,5269,2293.1
2020-07-02T10:45:00+0200,12068.4,5443,2226.26
2020-07-02T11:00:00+0200,12336.2,5666,2235.65
2020-07-02T11:15:00+0200,12303.9,5846,2248.65
2020-07-02T11:30:00+0200,12232.9,5939,2335.18
2020-07-02T11:45:00+0200,12422.1,6065,2260.22
2020-07-02T12:00:00+0200,12393.3,6128,2306.2
2020-07-02T12:15:00+0200,12418,6170,2384.07
2020-07-02T12:30:00+0200,12250.9,6047,2422.16
2020-07-02T12:45:00+0200,12284.7,6051,2520.78
2020-07-02T13:00:00+0200,12370.8,6066,2518.51
2020-07-02T13:15:00+0200,12102.5,6154,2576.98
2020-07-02T13:30:00+0200,12089.1,6000,2508.25
2020-07-02T13:45:00+0200,11944.6,6039,2344.83
2020-07-02T14:00:00+0200,11492.8,6053,2310.97
2020-07-02T14:15:00+0200,11498.1,6112,2261.01
2020-07-02T14:30:00+0200,11357.1,6030,2345.06
2020-07-02T14:45:00+0200,11349.4,5924,2328.63
2020-07-02T15:00:00+0200,11437.7,5967,2374.18
2020-07-02T15:15:00+0200,11459.8,5753,2227.57
2020-07-02T15:30:00+0200,11407.9,5606,2156.24
2020-07-02T15:45:00+0200,11538.6,5393,2191.82
2020-07-02T16:00:00+0200,11592,5244,2074.92
2020-07-02T16:15:00+0200,11446.9,4996,1879.6
2020-07-02T16:30:00+0200,11551.7,4593,1815.89
2020-07-02T16:45:00+0200,11724.2,4211,1730.56
2020-07-02T17:00:00+0200,11997.3,3954,1635.68
2020-07-02T17:15:00+0200,11750.7,3620,1711.53
2020-07-02T17:30:00+0200,11871.3,3262,1739.07
2020-07-02T17:45:00+0200,12076.7,2865,1643.45
2020-07-02T18:00:00+0200,11817.5,2535,1540.55
2020-07-02T18:15:00+0200,11605.4,2209,1359.04
2020-07-02T18:30:00+0200,11395.6,1867,1484.64
2020-07-02T18:45:00+0200,11546.6,1590,1702.33
2020-07-02T19:00:00+0200,11656.6,1293,1617.14
2020-07-02T19:15:00+0200,11589.5,997,1587.39
2020-07-02T19:30:00+0200,11639.2,761,1492.03
2020-07-02T19:45:00+0200,11663.7,556,1324.64
2020-07-02T20:00:00+0200,11501.7,419,1133.7
2020-07-02T20:15:00+0200,11130.9,291,978.86
2020-07-02T20:30:00+0200,10860.9,184,983.05
2020-07-02T20:45:00+0200,10543.9,112,1110.62
